,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genres,label,label_encode
2078,The Groove,Satu Mimpiku,3kFuzRhZnw6lyNw2dsrhlK,30,2.082519144767487e-05,2.2038347026145414e-05,0,0.0,1,1.91077817453736e-05,2.1391072324533334e-05,1.8729455496125965e-05,1.9294212363023544e-05,2.0782556587089645e-05,0.0003705512010354565,audio_features,spotify:track:3kFuzRhZnw6lyNw2dsrhlK,https://api.spotify.com/v1/tracks/3kFuzRhZnw6lyNw2dsrhlK,https://api.spotify.com/v1/audio-analysis/3kFuzRhZnw6lyNw2dsrhlK,0.9999999999999999,4,Indie,Sad,2
2079,Styx,Rockin' The Paradise,38eOojMDQscY6Gs70tdEfH,13,2.7834494276086167e-05,2.974370274529034e-05,9,0.0,1,2.553461808848766e-05,2.5371290181487127e-05,2.5354150041804232e-05,2.577895961033715e-05,2.8995813296283353e-05,0.000717481471782145,audio_features,spotify:track:38eOojMDQscY6Gs70tdEfH,https://api.spotify.com/v1/tracks/38eOojMDQscY6Gs70tdEfH,https://api.spotify.com/v1/audio-analysis/38eOojMDQscY6Gs70tdEfH,1.0,4,Soft Rock,Happy,1
2080,Juicy Luicy,Terlalu Tinggi,4GHzE0rDsSkbj6V6UXZTLc,53,2.7078120514042485e-05,2.7354427866226593e-05,10,0.0,1,2.585662671295846e-05,2.5903993687618594e-05,2.5750409860690284e-05,2.608197868331121e-05,2.7096062549898596e-05,0.0006887552840372118,audio_features,spotify:track:4GHzE0rDsSkbj6V6UXZTLc,https://api.spotify.com/v1/tracks/4GHzE0rDsSkbj6V6UXZTLc,https://api.spotify.com/v1/audio-analysis/4GHzE0rDsSkbj6V6UXZTLc,1.0,3,Pop Indonesia,Anger,0
2081,Arash Buana,lmao i just broke up,50utkMa5Tr54xnAum3s0QG,56,3.801758107605794e-05,3.710771954459245e-05,4,0.0,1,3.4958800349673966e-05,3.836963805054459e-05,3.4745033183633074e-05,3.5260563470662515e-05,3.6755662570105805e-05,0.0005744518224867103,audio_features,spotify:track:50utkMa5Tr54xnAum3s0QG,https://api.spotify.com/v1/tracks/50utkMa5Tr54xnAum3s0QG,https://api.spotify.com/v1/audio-analysis/50utkMa5Tr54xnAum3s0QG,1.0000000000000002,4,Pop Indonesia,Sad,2
2082,Coldplay,My Universe,3FeVmId7tL5YN8B7R3imoM,94,3.060440542916363e-05,3.110000557440517e-05,9,0.0,1,2.8201841185240465e-05,2.8061187232515717e-05,2.8025530337110287e-05,2.8902698735767887e-05,2.996845834013687e-05,0.0004884863095284303,audio_features,spotify:track:3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/tracks/3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/audio-analysis/3FeVmId7tL5YN8B7R3imoM,1.0,4,Pop,Anger,0
2083,Hootie & The Blowfish,Only Wanna Be with You,1OFKUn2VLafrHj7ybnap0Q,71,2.7662009926345225e-05,2.933018026200736e-05,6,0.0,1,2.5682418757785327e-05,2.599383959068309e-05,2.5527819830600042e-05,2.6041750488051977e-05,2.776218725720744e-05,0.0004753327238689708,audio_features,spotify:track:1OFKUn2VLafrHj7ybnap0Q,https://api.spotify.com/v1/tracks/1OFKUn2VLafrHj7ybnap0Q,https://api.spotify.com/v1/audio-analysis/1OFKUn2VLafrHj7ybnap0Q,1.0,4,Rock,Anger,0
2084,TWICE,"HELLO (NAYEON, MOMO, CHAEYOUNG)",1bXM8imxd31qCecbHgSk9E,69,2.7764849290356758e-05,2.680969917716383e-05,0,0.0,0,2.3993370843406394e-05,2.3525620187974197e-05,2.332749476449475e-05,2.3638600801363303e-05,2.629664711636306e-05,0.0009510129487026425,audio_features,spotify:track:1bXM8imxd31qCecbHgSk9E,https://api.spotify.com/v1/tracks/1bXM8imxd31qCecbHgSk9E,https://api.spotify.com/v1/audio-analysis/1bXM8imxd31qCecbHgSk9E,1.0,4,K-pop,Happy,1
2085,Seasick Steve,Cut My Wings,0Mue41PoRyvzZtBnFvpViY,38,4.80961386321343e-05,4.668082861657682e-05,11,0.0,0,4.560226477713474e-05,4.919910436839633e-05,4.73640817275356e-05,4.524599708356338e-05,4.7076139345060116e-05,0.0005397162734844344,audio_features,spotify:track:0Mue41PoRyvzZtBnFvpViY,https://api.spotify.com/v1/tracks/0Mue41PoRyvzZtBnFvpViY,https://api.spotify.com/v1/audio-analysis/0Mue41PoRyvzZtBnFvpViY,1.0000000000000002,4,Country Music,Fear,3
2086,Halsey,Without Me (with Juice WRLD),6Zc5f20q7sOe1IC1c1jQvZ,71,2.9922808637065974e-05,2.8917660983126266e-05,6,0.0,1,2.699739194338232e-05,2.8222798039750556e-05,2.6671374486930573e-05,2.747549261008234e-05,2.8633597515708524e-05,0.0006210763651621539,audio_features,spotify:track:6Zc5f20q7sOe1IC1c1jQvZ,https://api.spotify.com/v1/tracks/6Zc5f20q7sOe1IC1c1jQvZ,https://api.spotify.com/v1/audio-analysis/6Zc5f20q7sOe1IC1c1jQvZ,1.0,4,Dance,Anger,0
2087,"Car, the garden",Romantic Sunday,16YZbdkJtyvsjV8UKOwQBB,69,3.4613098793042596e-05,3.46565116850444e-05,7,0.0,1,3.189979304292951e-05,3.39054686534131e-05,3.180523976414957e-05,3.31544256217818e-05,3.509498189426268e-05,0.0005441328470614782,audio_features,spotify:track:16YZbdkJtyvsjV8UKOwQBB,https://api.spotify.com/v1/tracks/16YZbdkJtyvsjV8UKOwQBB,https://api.spotify.com/v1/audio-analysis/16YZbdkJtyvsjV8UKOwQBB,1.0,4,K-pop,Happy,1
