,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genres,label,label_encode
8306,Johann Sebastian Bach,"O Gott, du frommer Gott, BWV 767",26XDWZ2SbOUOEqUBFcS95f,0,1.7973250035754548e-05,1.793076247446104e-05,0,0.0,0,1.7858128976821194e-05,1.8651027799246163e-05,1.8469949859447657e-05,1.790870940693251e-05,1.794795982069889e-05,8.32361673997816e-05,audio_features,spotify:track:26XDWZ2SbOUOEqUBFcS95f,https://api.spotify.com/v1/tracks/26XDWZ2SbOUOEqUBFcS95f,https://api.spotify.com/v1/audio-analysis/26XDWZ2SbOUOEqUBFcS95f,1.0,3,Classical,Fear,3
8307,Russell Dickerson,Blue Tacoma,5PBx0zFfehUMyv5H4YXVAU,68,2.5165995723553716e-05,2.723604858520634e-05,9,0.0,1,2.3195908968204125e-05,2.309264209424013e-05,2.3006350596818168e-05,2.3826827129682764e-05,2.643914896420567e-05,0.0007780852453332,audio_features,spotify:track:5PBx0zFfehUMyv5H4YXVAU,https://api.spotify.com/v1/tracks/5PBx0zFfehUMyv5H4YXVAU,https://api.spotify.com/v1/audio-analysis/5PBx0zFfehUMyv5H4YXVAU,1.0,4,Rock,Happy,1
8308,Michael Bublé,White Christmas (with Shania Twain),1yPHgpNbt3veEinJa3AKPs,65,3.489691755399083e-05,3.435680261808174e-05,10,0.0,1,3.2299330891885666e-05,3.410963137622503e-05,3.2123158673803254e-05,3.273645781035446e-05,3.5034234910577885e-05,0.0006136117623997,audio_features,spotify:track:1yPHgpNbt3veEinJa3AKPs,https://api.spotify.com/v1/tracks/1yPHgpNbt3veEinJa3AKPs,https://api.spotify.com/v1/audio-analysis/1yPHgpNbt3veEinJa3AKPs,1.0,4,Jazz,Happy,1
8309,Ella Fitzgerald,Blue Skies,0SIzIfR6913S1oqTbyg8YC,55,4.7868486237534106e-05,4.642836751167252e-05,0,0.0,1,4.547064438355353e-05,4.88668507530087e-05,4.51693680120696e-05,4.561995730666433e-05,4.7837563442807015e-05,0.0003962005162118,audio_features,spotify:track:0SIzIfR6913S1oqTbyg8YC,https://api.spotify.com/v1/tracks/0SIzIfR6913S1oqTbyg8YC,https://api.spotify.com/v1/audio-analysis/0SIzIfR6913S1oqTbyg8YC,1.0,4,Jazz,Sad,2
8310,Dua Lipa,We're Good,1diS6nkxMQc3wwC4G1j0bh,81,4.020229670029651e-05,3.939269228823764e-05,6,0.0,1,3.6168775017531566e-05,3.603283397819333e-05,3.584009979353155e-05,3.6945753580149263e-05,3.940477593617882e-05,0.0008455049300921,audio_features,spotify:track:1diS6nkxMQc3wwC4G1j0bh,https://api.spotify.com/v1/tracks/1diS6nkxMQc3wwC4G1j0bh,https://api.spotify.com/v1/audio-analysis/1diS6nkxMQc3wwC4G1j0bh,1.0,4,Dance,Happy,1
8311,Imagine Dragons,On Top Of The World,68uVD7yLLPF9fJeE6JSzZz,1,3.201152099412224e-05,3.375939568223294e-05,0,0.0,1,2.9791668274503917e-05,2.942705227873483e-05,2.8961842152870425e-05,2.941875376389513e-05,3.289842476761461e-05,0.0005467372770697,audio_features,spotify:track:68uVD7yLLPF9fJeE6JSzZz,https://api.spotify.com/v1/tracks/68uVD7yLLPF9fJeE6JSzZz,https://api.spotify.com/v1/audio-analysis/68uVD7yLLPF9fJeE6JSzZz,1.0,4,Rock,Happy,1
8312,Rich Brian,Slow Down Turbo,5cdmj1cvGZovYsd8nSjtsF,51,3.365555580162693e-05,3.41936776036113e-05,7,0.0,0,3.2533425842450226e-05,3.29297170919736e-05,3.2319845716391313e-05,3.279205802634969e-05,3.2196369706013506e-05,0.0003578843702143,audio_features,spotify:track:5cdmj1cvGZovYsd8nSjtsF,https://api.spotify.com/v1/tracks/5cdmj1cvGZovYsd8nSjtsF,https://api.spotify.com/v1/audio-analysis/5cdmj1cvGZovYsd8nSjtsF,1.0,4,Pop Indonesia,Anger,0
8313,Tate McRae,feel like shit,2EBnvom1dTybtm75a3Xh1T,85,3.751918086143158e-05,3.688293072942192e-05,7,0.0,1,3.526440827822502e-05,3.7558334715709104e-05,3.5032911114809195e-05,3.561532469718727e-05,3.582088243214424e-05,0.000744510539087,audio_features,spotify:track:2EBnvom1dTybtm75a3Xh1T,https://api.spotify.com/v1/tracks/2EBnvom1dTybtm75a3Xh1T,https://api.spotify.com/v1/audio-analysis/2EBnvom1dTybtm75a3Xh1T,1.0,4,Pop,Sad,2
8314,Mega,Gangsta Girl,2OooAaREXH0Um3qsGr6OJV,0,3.977075653741794e-05,3.891253764244809e-05,2,0.0,1,3.626346891462207e-05,3.6101895565436126e-05,3.723578627539716e-05,3.661568591775998e-05,3.7751709772951294e-05,0.0005173075615523,audio_features,spotify:track:2OooAaREXH0Um3qsGr6OJV,https://api.spotify.com/v1/tracks/2OooAaREXH0Um3qsGr6OJV,https://api.spotify.com/v1/audio-analysis/2OooAaREXH0Um3qsGr6OJV,1.0,4,K-Hip hop,Anger,0
8315,Randy Houser,Simple Man,0sp8gcnWC6S1EV0IGfZiXC,30,1.7282321795476244e-05,1.8249794325605428e-05,7,0.0,1,1.5995077094778202e-05,1.5894623072013218e-05,1.707982754498409e-05,1.686045877361759e-05,1.6663589363416885e-05,0.0003592360500536,audio_features,spotify:track:0sp8gcnWC6S1EV0IGfZiXC,https://api.spotify.com/v1/tracks/0sp8gcnWC6S1EV0IGfZiXC,https://api.spotify.com/v1/audio-analysis/0sp8gcnWC6S1EV0IGfZiXC,1.0,4,Country Music,Anger,0
